"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073"
"7000000US370210012.1","Voting District 12.1, Buncombe County, North Carolina","1841","104","1737","1715","1573","119","7","11","1","4","22","19","5","6","5","2","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210013.1","Voting District 13.1, Buncombe County, North Carolina","2317","117","2200","2159","1736","403","5","12","1","2","41","39","9","17","7","0","1","3","1","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210014.2","Voting District 14.2, Buncombe County, North Carolina","2403","280","2123","2095","1707","370","1","15","0","2","28","25","8","6","2","2","0","5","1","0","0","0","0","0","0","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210015.1","Voting District 15.1, Buncombe County, North Carolina","1895","51","1844","1819","1757","44","5","8","0","5","25","25","5","12","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210017.1","Voting District 17.1, Buncombe County, North Carolina","1559","40","1519","1502","1388","82","1","27","0","4","17","16","7","5","2","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210019.1","Voting District 19.1, Buncombe County, North Carolina","1830","118","1712","1696","1400","207","5","77","5","2","16","15","3","7","1","0","0","2","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210020.1","Voting District 20.1, Buncombe County, North Carolina","999","16","983","979","834","122","1","22","0","0","4","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210024.1","Voting District 24.1, Buncombe County, North Carolina","2485","173","2312","2288","2145","109","12","17","1","4","24","24","5","8","4","0","0","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210025.1","Voting District 25.1, Buncombe County, North Carolina","2542","110","2432","2391","2134","186","11","50","1","9","41","38","11","19","1","2","0","0","1","0","0","0","0","0","1","3","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210026.1","Voting District 26.1, Buncombe County, North Carolina","1758","207","1551","1532","1407","88","1","30","6","0","19","19","6","7","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210028.1","Voting District 28.1, Buncombe County, North Carolina","2739","95","2644","2597","2440","111","7","33","0","6","47","42","13","10","16","0","2","1","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
